Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00172307	0.00019202	73.00000000	0.00000000	0.00175838	0.00018253	184.00000000
0.00000000	0.00170034	0.00018700	83.00000000	0.00000000	0.00173543	0.00017733	212.00000000
0.00000000	0.00167792	0.00018216	65.00000000	0.00000000	0.00171279	0.00017231	176.00000000
0.00000000	0.00165580	0.00017749	84.00000000	0.00000000	0.00169045	0.00016747	183.00000000
0.00000000	0.00163398	0.00017299	71.00000000	0.00000000	0.00166840	0.00016281	176.00000000
0.00000000	0.00161246	0.00016865	72.00000000	0.00000000	0.00164665	0.00015830	180.00000000
0.00000000	0.00159123	0.00016446	84.00000000	0.00000000	0.00162519	0.00015396	191.00000000
0.00000000	0.00157029	0.00016042	74.00000000	0.00000000	0.00160402	0.00014977	198.00000000
0.00000000	0.00154963	0.00015653	68.00000000	0.00000000	0.00158312	0.00014573	153.00000000
0.00000000	0.00152926	0.00015278	60.00000000	0.00000000	0.00156251	0.00014183	154.00000000
0.00000000	0.00150916	0.00014915	74.00000000	0.00000000	0.00154217	0.00013807	172.00000000
0.00000000	0.00148933	0.00014566	63.00000000	0.00000000	0.00152210	0.00013444	164.00000000
0.00000000	0.00146978	0.00014230	67.00000000	0.00000000	0.00150229	0.00013094	142.00000000
0.00000000	0.00145049	0.00013905	62.00000000	0.00000000	0.00148276	0.00012757	157.00000000
0.00000000	0.00143147	0.00013592	60.00000000	0.00000000	0.00146348	0.00012431	156.00000000
0.00000000	0.00141270	0.00013290	68.00000000	0.00000000	0.00144446	0.00012117	153.00000000
0.00000000	0.00139419	0.00012999	52.00000000	0.00000000	0.00142569	0.00011814	131.00000000
0.00000000	0.00137593	0.00012718	67.00000000	0.00000000	0.00140717	0.00011522	152.00000000
0.00000000	0.00135792	0.00012447	47.00000000	0.00000000	0.00138890	0.00011240	163.00000000
0.00000000	0.00134015	0.00012186	54.00000000	0.00000000	0.00137087	0.00010968	135.00000000
0.00000000	0.00132263	0.00011934	60.00000000	0.00000000	0.00135308	0.00010705	131.00000000
0.00000000	0.00130534	0.00011691	54.00000000	0.00000000	0.00133553	0.00010452	127.00000000
0.00000000	0.00128829	0.00011457	49.00000000	0.00000000	0.00131821	0.00010208	125.00000000
0.00000000	0.00127147	0.00011231	56.00000000	0.00000000	0.00130112	0.00009973	133.00000000
0.00000000	0.00125488	0.00011013	54.00000000	0.00000000	0.00128426	0.00009746	140.00000000
0.00000000	0.00123852	0.00010803	60.00000000	0.00000000	0.00126763	0.00009526	112.00000000
0.00000000	0.00122237	0.00010600	64.00000000	0.00000000	0.00125121	0.00009315	148.00000000
0.00000000	0.00120645	0.00010405	65.00000000	0.00000000	0.00123502	0.00009111	95.00000000
0.00000000	0.00119075	0.00010217	41.00000000	0.00000000	0.00121904	0.00008915	131.00000000
0.00000000	0.00117525	0.00010035	49.00000000	0.00000000	0.00120327	0.00008725	115.00000000
0.00000000	0.00115997	0.00009860	39.00000000	0.00000000	0.00118771	0.00008542	148.00000000
0.00000000	0.00114490	0.00009691	56.00000000	0.00000000	0.00117236	0.00008365	136.00000000
0.00000000	0.00113003	0.00009528	46.00000000	0.00000000	0.00115722	0.00008195	130.00000000
0.00000000	0.00111536	0.00009371	41.00000000	0.00000000	0.00114227	0.00008031	137.00000000
